TRACE,HEADERTIME,TIME_shot_1,TIME_shot_2
504, 16:19:05,1486.0,0
505, 16:19:10,1245.0,0
506, 16:19:15,1544.0,0
507, 16:19:20,1461.0,0
508, 16:19:25,1445.0,0
509, 16:19:30,1627.0,0
510, 16:19:35,2142.0,0
511, 16:19:40,2284.0,0
512, 16:19:45,2109.0,0
513, 16:19:50,1503.0,0
514, 16:19:55,1187.0,0
515, 16:20:00,1245.0,0
516, 16:20:05,1627.0,0
517, 16:20:10,580.9,4471
518, 16:20:15,4019.0,0
519, 16:20:20,3313.0,0
520, 16:20:25,2541.0,0
521, 16:20:30,2549.0,0
522, 16:20:35,2724.0,0
523, 16:20:40,1843.0,0
524, 16:20:45,1270.0,0
525, 16:20:50,1121.0,0
526, 16:20:55,1868.0,0
527, 16:21:00,1088.0,0
528, 16:21:05,1004.0,0
529, 16:21:10,805.1,0
530, 16:21:15,364.9,0
531, 16:26:00,0.0,0
532, 16:26:05,589.2,0
533, 16:26:10,0.0,0
534, 16:26:15,0.0,0
535, 16:26:20,4385.0,0
536, 16:26:25,0.0,0
537, 16:26:30,41.03,0
538, 16:26:35,506.1,0
539, 16:26:40,373.3,0
540, 16:26:45,215.4,0
541, 16:26:50,248.7,0
542, 16:26:55,381.6,0
543, 16:27:00,165.6,0
544, 16:27:05,257.0,0
545, 16:27:10,738.7,0
546, 16:27:15,605.8,0
547, 16:27:20,464.6,0
548, 16:27:25,4651.0,0
549, 16:27:30,4053.0,0
550, 16:27:35,3297.0,0
551, 16:27:40,3181.0,0
552, 16:27:45,2956.0,0
553, 16:27:50,2915.0,0
554, 16:27:55,2549.0,0
555, 16:28:00,2574.0,0
556, 16:28:05,2217.0,0
557, 16:28:10,1752.0,0
558, 16:28:15,1270.0,0
559, 16:28:20,1021.0,0
560, 16:28:25,796.8,0
561, 16:28:30,722.1,0
562, 16:28:35,423.1,0
563, 16:28:40,99.17,0
564, 16:28:45,90.86,0
565, 16:28:50,7.806,4045
566, 16:28:55,3787.0,0
567, 16:29:00,3322.0,0
568, 16:29:05,2840.0,0
569, 16:29:10,2533.0,0
570, 16:29:15,2300.0,0
571, 13:17:42,913.1,3071
572, 13:17:45,871.6,3725
573, 13:17:48,712.8,4055
574, 13:17:51,1046.0,4709
575, 13:17:54,1702.0,0
576, 13:17:57,2209.0,0
577, 13:18:00,2848.0,0
578, 13:18:03,3895.0,0
579, 13:18:06,884.6,4484
580, 13:18:09,1472.0,4907
581, 13:18:12,1935.0,0
582, 13:18:15,2367.0,0
583, 13:18:18,3388.0,0
584, 13:18:21,382.6,3883
585, 13:18:24,878.0,4372
586, 13:18:27,1337.0,0
587, 13:18:30,1993.0,0
588, 13:18:33,2699.0,0
589, 13:18:36,3122.0,0
590, 13:18:39,111.8,3276
591, 13:18:42,290.2,3837
592, 13:18:45,846.7,4392
593, 13:18:48,1403.0,4854
594, 13:18:51,1860.0,0
595, 13:18:54,2715.0,0
596, 13:18:57,3230.0,0
597, 13:19:00,248.7,3949
598, 13:19:03,946.3,4240
599, 13:19:06,1229.0,4603
600, 13:19:09,1594.0,0
601, 13:19:12,2392.0,0
602, 13:19:15,3006.0,0
603, 13:19:18,24.42,3553
604, 13:19:21,564.3,4346
605, 13:19:24,1337.0,0
606, 13:19:27,2009.0,0
607, 13:19:30,2674.0,0
608, 13:19:33,3264.0,0
609, 13:19:36,257.0,3632
610, 13:19:39,655.6,4121
611, 13:19:42,1129.0,4398
612, 13:19:45,1387.0,4841
613, 13:19:48,1843.0,0
614, 13:19:51,2325.0,0
615, 13:19:54,2981.0,0
616, 13:19:57,3488.0,0
617, 13:20:00,506.1,3929
618, 13:20:03,946.3,4398
619, 13:20:06,1403.0,4729
620, 13:20:09,1735.0,0
621, 13:37:00,0.0,0
622, 13:37:05,1544.0,0
623, 13:37:10,124.1,0
624, 13:37:15,0.0,4359
625, 13:37:20,3488.0,0
626, 13:37:25,2616.0,0
627, 13:37:30,1553.0,0
628, 13:37:35,688.9,4610
629, 13:37:40,3671.0,0
630, 13:37:45,2666.0,0
631, 13:37:50,2234.0,0
632, 13:37:55,1594.0,0
633, 13:38:00,796.8,0
634, 13:38:05,147.0,4253
635, 13:38:10,3363.0,0
636, 13:38:15,3770.0,0
637, 13:38:20,3538.0,0
638, 13:38:25,2956.0,0
639, 13:38:30,2392.0,0
640, 13:38:35,2159.0,0
641, 13:38:40,1843.0,0
642, 13:38:45,1220.0,0
643, 13:38:50,265.3,4498
644, 13:38:55,3779.0,0
645, 13:39:00,3098.0,0
646, 13:39:05,2458.0,0
647, 13:39:10,2234.0,0
648, 13:39:15,1511.0,0
649, 13:39:20,630.7,4722
650, 13:39:25,3820.0,0
651, 13:39:30,3064.0,0
652, 13:39:35,3147.0,0
653, 13:39:40,2466.0,0
654, 13:39:45,979.6,0
655, 13:39:50,232.1,4147
656, 13:39:55,0.0,0
657, 13:40:00,0.0,0
658, 13:40:05,0.0,0
659, 13:40:10,0.0,0
660, 13:40:15,0.0,0
661, 13:46:00,4161.0,0
662, 13:46:05,4601.0,0
663, 13:46:10,4094.0,0
664, 13:46:15,3862.0,0
665, 13:46:20,3820.0,0
666, 13:46:25,3878.0,0
667, 13:46:30,3347.0,0
668, 13:46:35,2973.0,0
669, 13:46:40,3205.0,0
670, 13:46:45,2898.0,0
671, 13:46:50,2566.0,0
672, 13:46:55,2657.0,0
673, 13:47:00,2034.0,0
674, 13:47:05,1129.0,0
675, 13:47:10,423.1,4663
676, 13:47:15,3629.0,0
677, 13:47:20,2541.0,0
678, 13:47:25,2724.0,0
679, 13:47:30,3513.0,0
680, 13:47:35,4111.0,0
681, 13:47:40,4019.0,0
682, 13:47:45,3397.0,0
683, 13:47:50,2940.0,0
684, 13:47:55,2475.0,0
685, 13:48:00,2325.0,0
686, 13:48:05,1619.0,0
687, 13:48:10,1096.0,0
688, 13:48:15,273.6,4299
689, 13:48:20,3338.0,0
690, 13:48:25,2259.0,0
691, 13:48:30,1112.0,0
692, 13:48:35,888.2,0
693, 13:48:40,763.6,0
694, 13:48:45,556.0,0
695, 13:48:50,0.0,0
696, 13:48:55,0.0,0
697, 13:49:00,0.0,0
698, 13:49:05,0.0,0
699, 13:49:10,0.0,0
700, 13:49:15,0.0,0
701, 14:03:00,3006.0,0
702, 14:03:05,2857.0,0
703, 14:03:10,0.0,0
704, 14:03:15,0.0,0
705, 14:03:20,0.0,0
706, 14:03:25,2200.0,0
707, 14:03:30,921.4,0
708, 14:03:35,232.1,4749
709, 14:03:40,4111.0,0
710, 14:03:45,2599.0,0
711, 14:03:50,1702.0,0
712, 14:03:55,497.8,0
713, 14:04:00,1096.0,0
714, 14:04:05,448.0,0
715, 14:04:10,90.86,4491
716, 14:04:15,4111.0,0
717, 14:04:20,3430.0,0
718, 14:04:25,2757.0,0
719, 14:04:30,2358.0,0
720, 14:04:35,1901.0,0
721, 14:04:40,1270.0,0
722, 14:04:45,664.0,4900
723, 14:04:50,4667.0,0
724, 14:04:55,3704.0,0
725, 14:05:00,3014.0,0
726, 14:05:05,2649.0,0
727, 14:05:10,2101.0,0
728, 14:05:15,1420.0,0
729, 14:05:20,913.1,0
730, 14:05:25,1353.0,0
731, 14:05:30,647.3,4960
732, 14:05:35,4418.0,0
733, 14:05:40,4028.0,0
734, 14:05:45,3504.0,0
735, 14:05:50,2948.0,0
736, 14:05:55,2167.0,0
737, 14:06:00,1387.0,0
738, 14:06:05,755.3,4900
739, 14:06:10,4036.0,0
740, 14:06:15,3438.0,0
741, 14:14:00,0.0,0
742, 14:14:05,647.3,0
743, 14:14:10,921.4,0
744, 14:14:15,198.8,4762
745, 14:14:20,4144.0,0
746, 14:14:25,3895.0,0
747, 14:14:30,3247.0,0
748, 14:14:35,2483.0,0
749, 14:14:40,2076.0,0
750, 14:14:45,1445.0,0
751, 14:14:50,763.6,0
752, 14:14:55,838.4,0
753, 14:15:00,331.7,4702
754, 14:15:05,3928.0,0
755, 14:15:10,3712.0,0
756, 14:15:15,3205.0,0
757, 14:15:20,3089.0,0
758, 14:15:25,2682.0,0
759, 14:15:30,2059.0,0
760, 14:15:35,1461.0,0
761, 14:15:40,780.2,0
762, 14:15:45,273.6,4782
763, 14:15:50,3812.0,0
764, 14:15:55,3121.0,0
765, 14:16:00,2458.0,0
766, 14:16:05,1727.0,0
767, 14:16:10,1445.0,0
768, 14:16:15,946.3,0
769, 14:16:20,1013.0,0
770, 14:16:25,124.1,4418
771, 14:16:30,3712.0,0
772, 14:16:35,3205.0,0
773, 14:16:40,2433.0,0
774, 14:16:45,1885.0,0
775, 14:16:50,1453.0,0
776, 14:16:55,630.7,4953
777, 14:17:00,0.0,0
778, 14:17:05,0.0,0
779, 14:17:10,0.0,0
780, 14:17:15,0.0,0
781, 14:21:00,257.0,0
782, 14:21:05,124.1,0
783, 14:21:10,124.1,0
784, 14:21:15,57.64,4715
785, 14:21:20,4352.0,0
786, 14:21:25,4177.0,0
787, 14:21:30,0.0,0
788, 14:21:35,0.0,0
789, 14:21:40,0.0,0
790, 14:21:45,1287.0,0
791, 14:21:50,763.6,0
792, 14:21:55,497.8,0
793, 14:22:00,389.9,4861
794, 14:22:05,4377.0,0
795, 14:22:10,4377.0,0
796, 14:22:15,4493.0,0
797, 14:22:20,4867.0,0
798, 14:22:25,0.0,0
799, 14:22:30,622.4,0
800, 14:22:35,331.7,0
801, 14:22:40,140.7,4874
802, 14:22:45,4219.0,0
803, 14:22:50,3986.0,0
804, 14:22:55,4252.0,0
805, 14:23:00,4285.0,0
806, 14:23:05,4485.0,0
807, 14:23:10,4493.0,0
808, 14:23:15,4593.0,0
809, 14:23:20,4144.0,0
810, 14:23:25,3264.0,0
811, 14:23:30,3039.0,0
812, 14:23:35,2549.0,0
813, 14:23:40,1868.0,0
814, 14:23:45,2167.0,0
815, 14:23:50,2948.0,0
816, 14:23:55,2400.0,0
817, 14:24:00,2541.0,0
818, 14:24:05,3214.0,0
819, 14:24:10,3563.0,0
820, 14:24:15,3845.0,0
821, 14:29:00,3936.0,0
822, 14:29:05,3521.0,0
823, 14:29:10,3006.0,0
824, 14:29:15,2408.0,0
825, 14:29:20,2217.0,0
826, 14:29:25,1710.0,0
827, 14:29:30,946.3,0
828, 14:29:35,780.2,0
829, 14:29:40,0.0,0
830, 14:29:45,0.0,0
831, 14:29:50,3745.0,0
832, 14:29:55,3438.0,0
833, 14:30:00,4086.0,0
834, 14:30:05,3970.0,0
835, 14:30:10,4717.0,0
836, 14:30:15,4244.0,0
837, 14:30:20,3970.0,0
838, 14:30:25,3621.0,0
839, 14:30:30,3239.0,0
840, 14:30:35,3181.0,0
841, 14:30:40,3280.0,0
842, 14:30:45,2965.0,0
843, 14:30:50,3446.0,0
844, 14:30:55,3961.0,0
845, 14:31:00,3928.0,0
846, 14:31:05,4551.0,0
847, 14:31:10,4119.0,0
848, 14:31:15,3164.0,0
849, 14:31:20,2425.0,0
850, 14:31:25,1976.0,0
851, 14:31:30,1785.0,0
852, 14:31:35,1121.0,0
853, 14:31:40,315.1,4286
854, 14:31:45,3363.0,0
855, 14:31:50,2757.0,0
856, 14:31:55,2342.0,0
857, 14:32:00,1727.0,0
858, 14:32:05,1511.0,0
859, 14:32:10,1187.0,0
860, 14:32:15,1735.0,0
861, 14:41:00,0.0,0
862, 14:41:05,0.0,0
863, 14:41:10,788.5,4940
864, 14:41:15,0.0,0
865, 14:41:20,888.2,0
866, 14:41:25,1553.0,0
867, 14:41:30,3230.0,0
868, 14:41:35,3289.0,0
869, 14:41:40,3588.0,0
870, 14:41:45,3388.0,0
871, 14:41:50,3887.0,0
872, 14:41:55,4460.0,0
873, 14:42:00,4360.0,0
874, 14:42:05,0.0,0
875, 14:42:10,340.0,0
876, 14:42:15,871.6,0
